CustomerID,TenureMonths,ContractType,PaymentMethod,MonthlyCharges,TotalCharges,TechSupportTickets,DaysSinceLastLogin,DiscountUsed,Churn,FutureLTV_12M,TicketPerMonth,AvgHistoricalMonthlySpend,ChargeRatio,InactivityRiskIndex,log_TotalCharges,log_MonthlyCharges,log_FutureLTV_12M
CUST-1000,52,One Year,Bank Transfer,76.16,3663.83,1,34,0,1,100.09,0.019230769230769232,70.45826923076923,1.0809235144643718,34,8.20653722852462,4.345881188037528,4.616011209165967
CUST-1001,15,One Year,Bank Transfer,27.31,380.61,3,16,0,1,46.78,0.2,25.374000000000002,1.0762985733427917,48,5.944399144681508,3.343215099123808,3.8666071418976635
CUST-1002,61,Month-to-Month,Credit Card,96.46,5641.1,3,11,1,1,136.88,0.04918032786885246,92.47704918032788,1.0430696140823597,33,8.638011615616142,4.57944203741536,4.926383741648665
CUST-1003,21,Two Year,Bank Transfer,48.47,1062.93,2,35,1,1,71.28,0.09523809523809523,50.61571428571429,0.9576077446304083,70,6.969724878263683,3.901366425239617,4.280547465724028
CUST-1004,24,Two Year,Electronic Check,108.76,2648.44,3,23,1,1,212.86,0.125,110.35166666666667,0.9855764147951247,69,7.882103575894174,4.6982961639775755,5.365321595328511
CUST-1005,3,Month-to-Month,Bank Transfer,56.79,161.5,5,9,0,1,81.07,1.6666666666666667,53.833333333333336,1.054922600619195,45,5.090678001769792,4.056815750329687,4.4075725416416205
CUST-1006,22,Month-to-Month,Electronic Check,34.28,786.39,3,29,0,1,36.69,0.13636363636363635,35.745,0.9590152468876767,87,6.668723678403591,3.5633162311385904,3.629394807279044
CUST-1007,53,Two Year,Electronic Check,89.59,4733.3,0,28,0,0,977.39,0.0,89.30754716981133,1.0031626983288615,28,8.462589159422198,4.506343831681196,6.8859083635521285
CUST-1008,2,One Year,Electronic Check,36.46,70.61,0,38,0,1,54.3,0.0,35.305,1.0327149129018554,38,4.271234729018849,3.6232736970159425,4.012772908528289
CUST-1009,30,Month-to-Month,Bank Transfer,95.37,2775.97,2,9,1,1,49.67,0.06666666666666667,92.53233333333333,1.0306667579260584,18,7.929115684223599,4.568194949863196,3.9253340194878183
CUST-1010,38,Two Year,Bank Transfer,116.81,4268.38,3,38,1,0,1504.34,0.07894736842105263,112.32578947368421,1.0399214690350906,114,8.359223896617033,4.769073157258028,7.316774065289599
CUST-1011,2,Month-to-Month,Electronic Check,97.96,183.18,1,27,1,1,158.14,0.5,91.59,1.0695490774101974,27,5.215913540293221,4.594715728084233,5.069784317949389
